Dataset,#Training Release,%Training,%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area, Kappa
OPENJPA,8,0.839,0.036,0.049,IBk,3,0,93,683,1512,19,0.12,0.83,0.76,0.14
OPENJPA,8,0.839,0.036,0.049,NaiveBayes,4,0,61,85,2110,51,0.42,0.54,0.84,0.44
OPENJPA,8,0.839,0.036,0.049,RandomForest,4,0,61,85,2110,51,0.42,0.54,0.84,0.44
OPENJPA,8,0.839,0.036,0.049,IBk,4,0,61,85,2110,51,0.42,0.54,0.84,0.44
OPENJPA,8,0.839,0.036,0.049,NaiveBayes,1,1,34,65,2130,78,0.34,0.30,0.75,0.29
OPENJPA,8,0.839,0.036,0.049,RandomForest,1,1,37,9,2186,75,0.80,0.33,0.88,0.45
OPENJPA,8,0.839,0.036,0.049,IBk,1,1,46,14,2181,66,0.77,0.41,0.89,0.52
OPENJPA,8,0.839,0.036,0.049,NaiveBayes,2,1,40,97,2098,72,0.29,0.36,0.75,0.28
OPENJPA,8,0.839,0.036,0.049,RandomForest,2,1,53,44,2151,59,0.55,0.47,0.88,0.48
OPENJPA,8,0.839,0.036,0.049,IBk,2,1,57,52,2143,55,0.52,0.51,0.86,0.49
OPENJPA,8,0.839,0.036,0.049,NaiveBayes,3,1,35,69,2126,77,0.34,0.31,0.78,0.29
OPENJPA,8,0.839,0.036,0.049,RandomForest,3,1,82,331,1864,30,0.20,0.73,0.88,0.26
OPENJPA,8,0.839,0.036,0.049,IBk,3,1,77,394,1801,35,0.16,0.69,0.75,0.20
OPENJPA,8,0.839,0.036,0.049,NaiveBayes,4,1,35,9,2186,77,0.80,0.31,0.76,0.43
OPENJPA,8,0.839,0.036,0.049,RandomForest,4,1,35,9,2186,77,0.80,0.31,0.76,0.43
OPENJPA,8,0.839,0.036,0.049,IBk,4,1,35,9,2186,77,0.80,0.31,0.76,0.43
OPENJPA,9,0.846,0.038,0.049,NaiveBayes,1,0,44,70,2414,83,0.39,0.35,0.82,0.33
OPENJPA,9,0.846,0.038,0.049,RandomForest,1,0,61,52,2432,66,0.54,0.48,0.92,0.48
OPENJPA,9,0.846,0.038,0.049,IBk,1,0,48,56,2428,79,0.46,0.38,0.81,0.39
OPENJPA,9,0.846,0.038,0.049,NaiveBayes,2,0,56,96,2388,71,0.37,0.44,0.83,0.37
OPENJPA,9,0.846,0.038,0.049,RandomForest,2,0,69,181,2303,58,0.28,0.54,0.89,0.32
OPENJPA,9,0.846,0.038,0.049,IBk,2,0,59,191,2293,68,0.24,0.46,0.82,0.27
OPENJPA,9,0.846,0.038,0.049,NaiveBayes,3,0,58,110,2374,69,0.35,0.46,0.82,0.36
OPENJPA,9,0.846,0.038,0.049,RandomForest,3,0,116,679,1805,11,0.15,0.91,0.90,0.18
OPENJPA,9,0.846,0.038,0.049,IBk,3,0,103,775,1709,24,0.12,0.81,0.75,0.13
OPENJPA,9,0.846,0.038,0.049,NaiveBayes,4,0,51,52,2432,76,0.50,0.40,0.72,0.42
OPENJPA,9,0.846,0.038,0.049,RandomForest,4,0,51,52,2432,76,0.50,0.40,0.72,0.42
OPENJPA,9,0.846,0.038,0.049,IBk,4,0,51,52,2432,76,0.50,0.40,0.72,0.42
OPENJPA,9,0.846,0.038,0.049,NaiveBayes,1,1,47,70,2414,80,0.40,0.37,0.81,0.36
OPENJPA,9,0.846,0.038,0.049,RandomForest,1,1,38,14,2470,89,0.73,0.30,0.89,0.41
OPENJPA,9,0.846,0.038,0.049,IBk,1,1,38,23,2461,89,0.62,0.30,0.89,0.38
OPENJPA,9,0.846,0.038,0.049,NaiveBayes,2,1,57,105,2379,70,0.35,0.45,0.81,0.36
OPENJPA,9,0.846,0.038,0.049,RandomForest,2,1,57,113,2371,70,0.34,0.45,0.86,0.35
OPENJPA,9,0.846,0.038,0.049,IBk,2,1,54,120,2364,73,0.31,0.43,0.86,0.32
OPENJPA,9,0.846,0.038,0.049,NaiveBayes,3,1,54,93,2391,73,0.37,0.43,0.81,0.36
OPENJPA,9,0.846,0.038,0.049,RandomForest,3,1,104,449,2035,23,0.19,0.82,0.89,0.25
OPENJPA,9,0.846,0.038,0.049,IBk,3,1,87,477,2007,40,0.15,0.69,0.77,0.19
OPENJPA,9,0.846,0.038,0.049,NaiveBayes,4,1,47,22,2462,80,0.68,0.37,0.81,0.46
OPENJPA,9,0.846,0.038,0.049,RandomForest,4,1,47,22,2462,80,0.68,0.37,0.81,0.46
OPENJPA,9,0.846,0.038,0.049,IBk,4,1,47,22,2462,80,0.68,0.37,0.81,0.46
OPENJPA,10,0.857,0.040,0.039,NaiveBayes,1,0,39,91,2637,71,0.30,0.35,0.80,0.30
OPENJPA,10,0.857,0.040,0.039,RandomForest,1,0,48,45,2683,62,0.52,0.44,0.89,0.45
OPENJPA,10,0.857,0.040,0.039,IBk,1,0,50,103,2625,60,0.33,0.45,0.72,0.35
OPENJPA,10,0.857,0.040,0.039,NaiveBayes,2,0,47,119,2609,63,0.28,0.43,0.80,0.31
OPENJPA,10,0.857,0.040,0.039,RandomForest,2,0,65,115,2613,45,0.36,0.59,0.88,0.42
OPENJPA,10,0.857,0.040,0.039,IBk,2,0,56,185,2543,54,0.23,0.51,0.74,0.28
OPENJPA,10,0.857,0.040,0.039,NaiveBayes,3,0,48,139,2589,62,0.26,0.44,0.80,0.29
OPENJPA,10,0.857,0.040,0.039,RandomForest,3,0,95,647,2081,15,0.13,0.86,0.87,0.17
OPENJPA,10,0.857,0.040,0.039,IBk,3,0,86,976,1752,24,0.08,0.78,0.72,0.08
OPENJPA,10,0.857,0.040,0.039,NaiveBayes,4,0,41,75,2653,69,0.35,0.37,0.83,0.34
OPENJPA,10,0.857,0.040,0.039,RandomForest,4,0,41,75,2653,69,0.35,0.37,0.83,0.34
OPENJPA,10,0.857,0.040,0.039,IBk,4,0,41,75,2653,69,0.35,0.37,0.83,0.34
OPENJPA,10,0.857,0.040,0.039,NaiveBayes,1,1,46,99,2629,64,0.32,0.42,0.80,0.33
OPENJPA,10,0.857,0.040,0.039,RandomForest,1,1,41,38,2690,69,0.52,0.37,0.89,0.41
OPENJPA,10,0.857,0.040,0.039,IBk,1,1,47,111,2617,63,0.30,0.43,0.75,0.32
OPENJPA,10,0.857,0.040,0.039,NaiveBayes,2,1,58,180,2548,52,0.24,0.53,0.80,0.30
OPENJPA,10,0.857,0.040,0.039,RandomForest,2,1,65,152,2576,45,0.30,0.59,0.88,0.36
OPENJPA,10,0.857,0.040,0.039,IBk,2,1,58,244,2484,52,0.19,0.53,0.76,0.24
OPENJPA,10,0.857,0.040,0.039,NaiveBayes,3,1,60,188,2540,50,0.24,0.55,0.81,0.30
OPENJPA,10,0.857,0.040,0.039,RandomForest,3,1,92,514,2214,18,0.15,0.84,0.88,0.20
OPENJPA,10,0.857,0.040,0.039,IBk,3,1,77,756,1972,33,0.09,0.70,0.72,0.10
OPENJPA,10,0.857,0.040,0.039,NaiveBayes,4,1,36,120,2608,74,0.23,0.33,0.70,0.24
OPENJPA,10,0.857,0.040,0.039,RandomForest,4,1,36,120,2608,74,0.23,0.33,0.70,0.24
OPENJPA,10,0.857,0.040,0.039,IBk,4,1,36,120,2608,74,0.23,0.33,0.70,0.24
OPENJPA,11,0.864,0.040,0.045,NaiveBayes,1,0,60,272,2693,81,0.18,0.43,0.77,0.20
OPENJPA,11,0.864,0.040,0.045,RandomForest,1,0,52,11,2954,89,0.83,0.37,0.80,0.50
OPENJPA,11,0.864,0.040,0.045,IBk,1,0,63,133,2832,78,0.32,0.45,0.74,0.34
